idnumber,smiles,smiles_desalted,hac,mw,alogp,hba,hbd,psa,rotb,arom,alerts
HMDB0028852,[NH3+]CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,[NH3+]CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,19,262.289,-0.4782999999999991,3,4,109.83,5,2,0
HMDB0028874,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CC(O)C[NH2+]1,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CC(O)C[NH2+]1,23,318.3530000000001,-1.0235999999999983,4,5,119.03,5,2,0
HMDB0028875,O=C(O)C(Cc1ccc(O)cc1)NC(=O)C1CC(O)C[NH2+]1,O=C(O)C(Cc1ccc(O)cc1)NC(=O)C1CC(O)C[NH2+]1,21,295.31500000000005,-1.7992999999999988,5,5,123.47,5,1,0
HMDB0028892,[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1ccccc1)C(=O)O,[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1ccccc1)C(=O)O,22,304.35,-1.206099999999996,3,4,123.97000000000001,7,2,0
HMDB0028897,[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,23,320.34900000000005,-1.5004999999999966,4,5,144.2,7,2,0
HMDB0028914,CCC(C)C([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O,CCC(C)C([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O,20,279.36,0.4551000000000018,3,3,94.04,7,1,0
HMDB0028988,CC(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,CC(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,17,237.27900000000002,-0.5710999999999993,3,3,94.04,5,1,0
HMDB0028990,NC(=O)CC(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,NC(=O)CC(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,20,280.304,-1.7155999999999958,4,4,137.13,7,1,0
HMDB0028991,[NH3+]C(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,[NH3+]C(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,20,281.28799999999995,-1.1162999999999996,5,4,131.34,7,1,0
HMDB0028993,NC(=O)CCC(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,NC(=O)CCC(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,21,294.3310000000001,-1.3254999999999963,4,4,137.13,8,1,0
HMDB0028994,[NH3+]C(Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)O,[NH3+]C(Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)O,21,295.315,-0.7261999999999997,5,4,131.34,8,1,0
HMDB0028997,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1c[nH+]c[nH]1)C(=O)O,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1c[nH+]c[nH]1)C(=O)O,22,304.35,-1.2060999999999968,3,4,123.96999999999998,7,2,0
HMDB0028998,CCC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,CCC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,20,279.36,0.4551000000000018,3,3,94.04,7,1,0
HMDB0029005,CC(O)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,CC(O)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,19,267.30499999999995,-1.2101999999999986,4,4,114.27,6,1,0
HMDB0029006,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,26,352.41400000000004,1.1329999999999996,3,4,109.83,7,3,0
HMDB0029007,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,24,329.37600000000003,0.35729999999999973,4,4,114.27,7,2,0
HMDB0029009,[NH3+]C(CCC(=O)NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,[NH3+]C(CCC(=O)NC(=O)C([NH3+])Cc1ccccc1)C(=O)O,21,295.33900000000006,-2.0422999999999956,4,4,138.75,7,1,0
HMDB0029028,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CCC[NH2+]1,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CCC[NH2+]1,22,302.35400000000016,0.0056000000000006045,3,4,98.8,5,2,0
HMDB0029029,O=C(O)C(Cc1ccc(O)cc1)NC(=O)C1CCC[NH2+]1,O=C(O)C(Cc1ccc(O)cc1)NC(=O)C1CCC[NH2+]1,20,279.31600000000003,-0.7700999999999991,4,4,103.24,5,1,0
HMDB0029050,[NH3+]C(CO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,[NH3+]C(CO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,21,292.31500000000005,-1.1173999999999982,4,5,130.05999999999997,6,2,0
HMDB0029076,CC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,CC(NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)O,20,276.31600000000003,-0.08979999999999927,3,4,109.83,5,2,0
